,...1,tag,sp.x,quadrat.x,dbh.x,hom.x,Height..m.,Notes
1,2,1216,FRAM2,23,232.00,1.37,44.40,NA
2,3,1226,QURU,23,168.50,1.37,17.30,NA
3,4,1236,VIRU,23,46.00,1.42,4.10,NA
4,5,1247,QUMU,24,232.00,1.37,12.50,NA
5,6,1257,CACA38,24,243.00,1.37,9.70,NA
6,7,1267,FRAM2,24,97.00,1.37,11.20,NA
7,8,1269,QUAL,24,316.00,NA,27.70,NA
8,9,1278,QURU,24,473.00,1.37,22.80,NA
9,12,11150,CAGL8,122,390.00,1.37,32.70,NA
10,13,11154,ACSA3,122,341.00,NA,13.90,NA
11,14,11162,FOLI,122,20.10,1.37,1.90,NA
12,15,11174,ACSA3,122,58.00,1.37,10.10,NA
13,16,11181,QUAL,122,551.00,NA,33.90,NA
14,17,11186,ACSA3,122,96.00,1.37,9.90,NA
15,18,11197,ACSA3,122,97.00,1.37,9.20,NA
16,19,11209,ACSA3,123,35.00,1.37,5.70,NA
17,20,11215,QUAL,123,670.00,NA,29.30,NA
18,21,11219,COFL2,123,44.00,1.37,6.20,NA
19,22,11230,ULAL,123,15.00,1.37,2.70,NA
20,23,11241,QUMU,123,112.00,1.37,10.60,NA
21,24,11251,ULAL,123,19.60,1.37,2.90,NA
22,25,11262,VIRU,123,49.00,1.37,6.60,NA
23,26,11274,ACSA3,124,65.00,1.37,6.80,NA
24,27,11290,CACA38,124,205.00,1.37,11.70,NA
25,28,11301,ACSA3,124,75.00,1.37,10.00,NA
26,29,11312,FRAM2,124,193.00,1.37,13.90,NA
27,30,11322,ULAL,124,32.00,1.37,2.50,NA
28,31,11334,ACSA3,124,104.00,1.37,13.70,NA
29,32,21063,QUAL,221,454.00,NA,22.40,NA
30,33,21070,ACSA3,221,43.00,1.44,7.10,NA
31,34,21083,ULAL,221,22.80,1.37,4.60,"dead on top, but new growth at bottom"
32,35,21095,DIVI5,221,360.50,1.37,37.10,NA
33,36,21107,ACSA3,221,98.00,1.37,11.30,NA
34,37,21108,QUAL,221,561.50,NA,35.00,NA
35,38,21118,ACSA3,222,88.00,1.37,10.00,NA
36,39,21133,QUAL,222,255.50,1.37,18.00,suspected dead
37,40,21143,QUAL,222,543.00,NA,33.60,NA
38,41,21144,FRAM2,222,299.00,1.37,24.50,NA
39,42,21157,ACSA3,222,88.00,1.42,13.10,NA
40,43,21173,FRAM2,223,300.00,1.37,22.50,NA
41,44,21184,VIRU,223,32.00,1.37,3.60,NA
42,45,21194,ACSA3,223,87.00,1.37,11.70,NA
43,46,21205,ACSA3,223,108.00,1.37,15.00,NA
44,47,21215,ACSA3,224,160.00,1.37,17.80,NA
45,48,21226,QUAL,224,420.00,NA,24.70,NA
46,49,21227,QUAL,224,519.00,1.37,25.30,NA
47,50,21238,COOB2,224,58.00,1.37,4.60,NA
48,51,21247,QUAL,224,471.50,NA,29.40,NA
49,52,21249,QUMU,224,149.00,1.37,12.80,NA
50,53,21263,QURU,224,529.00,1.37,25.10,NA
51,54,30985,ACSA3,320,122.00,1.37,18.80,NA
52,55,30994,QUAL,320,495.00,NA,27.30,NA
53,56,30996,QUAL,320,454.00,1.37,30.90,NA
54,58,31015,ACSA3,320,380.00,NA,30.70,NA
55,59,31018,OSVI,320,26.00,1.37,4.70,NA
56,60,31022,QUAL,320,378.00,NA,24.90,NA
57,61,31028,VIRU,320,22.00,1.37,3.10,NA
58,62,31038,FRAM2,321,173.00,1.37,26.20,NA
59,63,31040,QUAL,321,584.00,NA,25.10,NA
60,64,31048,ACSA3,321,89.00,1.37,15.80,NA
61,65,31053,QUAL,321,436.00,NA,26.00,NA
62,66,31056,QUAL,321,412.00,NA,23.70,NA
63,67,31057,QUAL,321,310.00,NA,26.00,NA
64,68,31060,ULAL,321,47.50,1.37,4.80,NA
65,69,31070,OSVI,321,51.50,1.37,8.40,NA
66,70,31081,AMAR3,322,82.00,1.37,14.70,NA
67,71,31092,CAGL8,322,193.00,1.58,21.20,NA
68,72,31103,ACSA3,322,39.00,1.37,5.80,NA
69,73,31114,VIRU,322,59.00,1.6,6.50,NA
70,74,31118,QUAL,322,422.00,NA,28.90,NA
71,75,31125,ACSA3,323,29.80,1.32,4.30,NA
72,76,31137,FRAM2,323,279.00,1.37,29.20,NA
73,77,31147,ACSA3,323,99.00,1.37,13.70,NA
74,78,31157,ULAL,323,15.40,1.37,2.90,NA
75,79,31167,ACSA3,323,127.00,1.37,20.20,NA
76,80,40975,TIAM,419,51.00,1.37,5.40,NA
77,81,40986,OSVI,419,22.00,1.32,7.30,NA
78,82,40997,ACSA3,419,64.00,1.32,8.90,NA
79,83,41007,ULAL,419,25.00,1.37,7.00,NA
80,84,41017,QUAL,420,713.00,1.37,39.70,NA
81,85,41027,ACSA3,420,36.00,1.37,6.00,NA
82,86,41039,QUAL,420,496.00,1.37,32.80,NA
83,87,41049,ACSA3,420,88.00,1.37,12.80,NA
84,88,41062,CAGL8,421,223.00,1.37,26.50,NA
85,89,41073,CAGL8,421,129.00,1.37,12.30,NA
86,90,41086,ACSA3,421,33.50,1.37,5.60,NA
87,91,41096,ACSA3,421,139.00,1.37,11.00,NA
88,92,41106,QUAL,421,127.00,1.42,19.30,NA
89,93,41116,FRAM2,422,213.00,1.37,20.20,NA
90,95,41140,CAGL8,422,192.00,1.37,15.10,NA
91,96,41151,CAGL8,422,122.00,1.37,9.10,NA
92,97,41162,FRAM2,422,121.00,1.37,19.00,NA
93,98,41170,QUAL,422,446.00,NA,23.20,NA
94,99,50897,QUAL,518,668.00,NA,30.40,NA
95,100,50903,QUMU,518,214.00,1.37,16.10,NA
96,101,50913,ACSA3,518,76.00,1.37,13.10,NA
97,102,50924,CACA38,518,147.50,1.37,19.80,NA
98,103,50935,VIRU,518,28.80,1.37,4.00,NA
99,104,50946,FRQU,519,45.00,1.37,5.90,NA
100,105,50956,ACSA3,519,26.90,1.37,4.70,NA
101,106,50966,ACSA3,519,98.00,1.37,13.90,NA
102,107,50978,ACSA3,519,203.00,1.37,22.30,NA
103,108,50991,CACA38,520,259.50,1.37,35.90,NA
104,109,51003,ULSE,520,17.10,1.37,2.00,approximated due to issues with hypsometer ability to measure small tree
105,110,51016,AEFL,520,184.00,1.37,19.80,NA
106,111,51023,QUAL,521,372.00,NA,20.80,NA
107,112,51027,OSVI,521,68.00,1.37,8.10,NA
108,113,51037,QUAL,521,376.00,1.37,16.80,NA
109,114,51047,ACSA3,521,56.50,1.37,6.50,NA
110,115,51058,ACSA3,521,111.00,1.37,13.60,NA
111,116,51068,ACSA3,521,106.50,1.37,16.20,NA
112,117,51080,ACSA3,521,72.50,1.37,12.00,NA
113,119,61063,FRAXI,617,186.50,1.37,20.70,NA
114,121,61086,CECA4,617,148.00,1.37,18.30,NA
115,122,61096,QUMU,617,215.00,1.37,19.60,NA
116,123,61107,ACSA3,618,41.00,1.37,7.10,NA
117,124,61117,ACSA3,618,67.00,1.37,11.60,NA
118,125,61132,ACSA3,618,182.00,1.37,20.10,NA
119,126,61142,ACSA3,618,118.00,1.37,12.60,NA
120,127,61154,ULSE,619,19.00,1.37,2.80,NA
121,128,61164,OSVI,619,93.50,1.37,9.40,NA
122,129,61174,ACSA3,619,35.00,1.37,5.00,NA
123,130,61186,FRQU,619,25.00,1.37,4.00,NA
124,131,61197,ULAL,620,35.00,1.37,5.00,*whole 0620 quad had tag numbers in different places than map showed
125,132,61208,ULAL,620,28.00,1.37,3.90,NA
126,133,61218,TIAM,620,50.00,1.37,7.10,NA
127,134,61227,QUAL,620,518.00,NA,25.20,NA
128,135,61228,ACSA3,620,126.00,1.37,15.00,NA
129,136,61235,QUAL,620,449.00,NA,32.70,NA
130,137,61237,QUAL,620,529.00,NA,28.60,NA
131,138,61239,QUAL,620,417.00,1.37,25.30,NA
132,139,70814,ACSA3,716,368.00,NA,30.90,NA
133,140,70818,LIST2,716,320.00,NA,31.00,NA
134,141,70850,FAGR,716,545.00,NA,21.50,NA
135,142,70852,LIST2,716,442.00,NA,31.80,NA
136,143,70882,CACO15,717,121.50,1.37,25.30,NA
137,144,70892,QUSH,717,660.00,1.37,37.10,NA
138,146,70915,LIBE3,717,10.20,1.37,1.00,NA
139,147,70927,QUSH,718,452.00,1.37,31.30,NA
140,148,70938,OSVI,718,58.50,1.37,9.40,NA
141,149,70949,FOLI,718,24.30,1.37,1.70,NA
