"","tag","sp.x","quadrat.x","dbh.x","hom.x","Height..m.","Notes"
"1",1206,"ACSA3",23,59,1.37,"","dead"
"2",1216,"FRAM2",23,232,1.37,"44.4",""
"3",1226,"QURU",23,168.5,1.37,"17.3",""
"4",1236,"VIRU",23,46,1.42,"4.1",""
"5",1247,"QUMU",24,232,1.37,"12.5",""
"6",1257,"CACA38",24,243,1.37,"9.7",""
"7",1267,"FRAM2",24,97,1.37,"11.2",""
"8",1269,"QUAL",24,316,NA,"27.7",""
"9",1278,"QURU",24,473,1.37,"22.8",""
"10",1289,"ASTR",24,10.2,1.37,"","dead"
"11",1299,"ACSA3",24,49,1.37,"","dead"
"12",11150,"CAGL8",122,390,1.37,"32.7",""
"13",11154,"ACSA3",122,341,NA,"13.9",""
"14",11162,"FOLI",122,20.1,1.37,"1.9",""
"15",11174,"ACSA3",122,58,1.37,"10.1",""
"16",11181,"QUAL",122,551,NA,"33.9",""
"17",11186,"ACSA3",122,96,1.37,"9.9",""
"18",11197,"ACSA3",122,97,1.37,"9.2",""
"19",11209,"ACSA3",123,35,1.37,"5.7",""
"20",11215,"QUAL",123,670,NA,"29.3",""
"21",11219,"COFL2",123,44,1.37,"6.2",""
"22",11230,"ULAL",123,15,1.37,"2.7",""
"23",11241,"QUMU",123,112,1.37,"10.6",""
"24",11251,"ULAL",123,19.6,1.37,"2.9",""
"25",11262,"VIRU",123,49,1.37,"6.6",""
"26",11274,"ACSA3",124,65,1.37,"6.8",""
"27",11290,"CACA38",124,205,1.37,"11.7",""
"28",11301,"ACSA3",124,75,1.37,"10.0",""
"29",11312,"FRAM2",124,193,1.37,"13.9",""
"30",11322,"ULAL",124,32,1.37,"2.5",""
"31",11334,"ACSA3",124,104,1.37,"13.7",""
"32",21063,"QUAL",221,454,NA,"22.4",""
"33",21070,"ACSA3",221,43,1.44,"7.1",""
"34",21083,"ULAL",221,22.8,1.37,"4.6","dead on top, but new growth at bottom"
"35",21095,"DIVI5",221,360.5,1.37,"37.1",""
"36",21107,"ACSA3",221,98,1.37,"11.3",""
"37",21108,"QUAL",221,561.5,NA,"35.0",""
"38",21118,"ACSA3",222,88,1.37,"10.0",""
"39",21133,"QUAL",222,255.5,1.37,"18.0","suspected dead"
"40",21143,"QUAL",222,543,NA,"33.6",""
"41",21144,"FRAM2",222,299,1.37,"24.5",""
"42",21157,"ACSA3",222,88,1.42,"13.1",""
"43",21173,"FRAM2",223,300,1.37,"22.5",""
"44",21184,"VIRU",223,32,1.37,"3.6",""
"45",21194,"ACSA3",223,87,1.37,"11.7",""
"46",21205,"ACSA3",223,108,1.37,"15.0",""
"47",21215,"ACSA3",224,160,1.37,"17.8",""
"48",21226,"QUAL",224,420,NA,"24.7",""
"49",21227,"QUAL",224,519,1.37,"25.3",""
"50",21238,"COOB2",224,58,1.37,"4.6",""
"51",21247,"QUAL",224,471.5,NA,"29.4",""
"52",21249,"QUMU",224,149,1.37,"12.8",""
"53",21263,"QURU",224,529,1.37,"25.1",""
"54",30985,"ACSA3",320,122,1.37,"18.8",""
"55",30994,"QUAL",320,495,NA,"27.3",""
"56",30996,"QUAL",320,454,1.37,"30.9",""
"57",31007,"ACSA3",320,49,1.37,"","broken crown"
"58",31015,"ACSA3",320,380,NA,"30.7",""
"59",31018,"OSVI",320,26,1.37,"4.7",""
"60",31022,"QUAL",320,378,NA,"24.9",""
"61",31028,"VIRU",320,22,1.37,"3.1",""
"62",31038,"FRAM2",321,173,1.37,"26.2",""
"63",31040,"QUAL",321,584,NA,"25.1",""
"64",31048,"ACSA3",321,89,1.37,"15.8",""
"65",31053,"QUAL",321,436,NA,"26.0",""
"66",31056,"QUAL",321,412,NA,"23.7",""
"67",31057,"QUAL",321,310,NA,"26.0",""
"68",31060,"ULAL",321,47.5,1.37,"4.8",""
"69",31070,"OSVI",321,51.5,1.37,"8.4",""
"70",31081,"AMAR3",322,82,1.37,"14.7",""
"71",31092,"CAGL8",322,193,1.58,"21.2",""
"72",31103,"ACSA3",322,39,1.37,"5.8",""
"73",31114,"VIRU",322,59,1.6,"6.5",""
"74",31118,"QUAL",322,422,NA,"28.9",""
"75",31125,"ACSA3",323,29.8,1.32,"4.3",""
"76",31137,"FRAM2",323,279,1.37,"29.2",""
"77",31147,"ACSA3",323,99,1.37,"13.7",""
"78",31157,"ULAL",323,15.4,1.37,"2.9",""
"79",31167,"ACSA3",323,127,1.37,"20.2",""
"80",40975,"TIAM",419,51,1.37,"5.4",""
"81",40986,"OSVI",419,22,1.32,"7.3",""
"82",40997,"ACSA3",419,64,1.32,"8.9",""
"83",41007,"ULAL",419,25,1.37,"7.0",""
"84",41017,"QUAL",420,713,1.37,"39.7",""
"85",41027,"ACSA3",420,36,1.37,"6.0",""
"86",41039,"QUAL",420,496,1.37,"32.8",""
"87",41049,"ACSA3",420,88,1.37,"12.8",""
"88",41062,"CAGL8",421,223,1.37,"26.5",""
"89",41073,"CAGL8",421,129,1.37,"12.3",""
"90",41086,"ACSA3",421,33.5,1.37,"5.6",""
"91",41096,"ACSA3",421,139,1.37,"11.0",""
"92",41106,"QUAL",421,127,1.42,"19.3",""
"93",41116,"FRAM2",422,213,1.37,"20.2",""
"94",41126,"ACSA3",422,100,1.37,"","broken crown"
"95",41140,"CAGL8",422,192,1.37,"15.1",""
"96",41151,"CAGL8",422,122,1.37,"9.1",""
"97",41162,"FRAM2",422,121,1.37,"19.0",""
"98",41170,"QUAL",422,446,NA,"23.2",""
"99",50897,"QUAL",518,668,NA,"30.4",""
"100",50903,"QUMU",518,214,1.37,"16.1",""
"101",50913,"ACSA3",518,76,1.37,"13.1",""
"102",50924,"CACA38",518,147.5,1.37,"19.8",""
"103",50935,"VIRU",518,28.8,1.37,"4.0",""
"104",50946,"FRQU",519,45,1.37,"5.9",""
"105",50956,"ACSA3",519,26.9,1.37,"4.7",""
"106",50966,"ACSA3",519,98,1.37,"13.9",""
"107",50978,"ACSA3",519,203,1.37,"22.3",""
"108",50991,"CACA38",520,259.5,1.37,"35.9",""
"109",51003,"ULSE",520,17.1,1.37,"2.0","approximated due to issues with hypsometer ability to measure small tree"
"110",51016,"AEFL",520,184,1.37,"19.8",""
"111",51023,"QUAL",521,372,NA,"20.8",""
"112",51027,"OSVI",521,68,1.37,"8.1",""
"113",51037,"QUAL",521,376,1.37,"16.8",""
"114",51047,"ACSA3",521,56.5,1.37,"6.5",""
"115",51058,"ACSA3",521,111,1.37,"13.6",""
"116",51068,"ACSA3",521,106.5,1.37,"16.2",""
"117",51080,"ACSA3",521,72.5,1.37,"12.0",""
"118",61053,"FRAM2",617,73.5,1.37,"","fallen and dead"
"119",61063,"FRAXI",617,186.5,1.37,"20.7",""
"120",61073,"ULAL",617,14.5,1.37,"","missing, suspected dead"
"121",61086,"CECA4",617,148,1.37,"18.3",""
"122",61096,"QUMU",617,215,1.37,"19.6",""
"123",61107,"ACSA3",618,41,1.37,"7.1",""
"124",61117,"ACSA3",618,67,1.37,"11.6",""
"125",61132,"ACSA3",618,182,1.37,"20.1",""
"126",61142,"ACSA3",618,118,1.37,"12.6",""
"127",61154,"ULSE",619,19,1.37,"2.8",""
"128",61164,"OSVI",619,93.5,1.37,"9.4",""
"129",61174,"ACSA3",619,35,1.37,"5.0",""
"130",61186,"FRQU",619,25,1.37,"4.0",""
"131",61197,"ULAL",620,35,1.37,"5.0","*whole 0620 quad had tag numbers in different places than map showed"
"132",61208,"ULAL",620,28,1.37,"3.9",""
"133",61218,"TIAM",620,50,1.37,"7.1",""
"134",61227,"QUAL",620,518,NA,"25.2",""
"135",61228,"ACSA3",620,126,1.37,"15.0",""
"136",61235,"QUAL",620,449,NA,"32.7",""
"137",61237,"QUAL",620,529,NA,"28.6",""
"138",61239,"QUAL",620,417,1.37,"25.3",""
"139",70814,"ACSA3",716,368,NA,"30.9",""
"140",70818,"LIST2",716,320,NA,"31.0",""
"141",70850,"FAGR",716,545,NA,"21.5",""
"142",70852,"LIST2",716,442,NA,"31.8",""
"143",70882,"CACO15",717,121.5,1.37,"25.3",""
"144",70892,"QUSH",717,660,1.37,"37.1",""
"145",70903,"LIBE3",717,17,1.37,"","missing"
"146",70915,"LIBE3",717,10.2,1.37,"<1.0",""
"147",70927,"QUSH",718,452,1.37,"31.3",""
"148",70938,"OSVI",718,58.5,1.37,"9.4",""
"149",70949,"FOLI",718,24.3,1.37,"1.7",""
"150",70960,"QUAL",718,371,1.37,"27.9",""
"151",70970,"OSVI",718,96,1.37,"16.0",""
"152",70996,"MAAC",718,304,1.37,"28.6",""
"153",71006,"ACSA3",719,39.5,1.37,"7.1",""
"154",71016,"ACSA3",719,95,1.37,"11.4",""
"155",71031,"LIBE3",719,11.5,1.32,"","fallen and dead"
"156",71044,"FRQU",719,13.5,1.37,"","missing"
"157",81004,"ACSA3C",815,43,1.37,"6.3",""
"158",81015,"LIBE3",815,12.3,1.37,"","dead"
"159",81028,"AESCU",815,11.1,1.37,"3.9",""
"160",81039,"ACSA3C",816,364,1.37,"25.5",""
"161",81049,"LIBE3",816,14.6,1.37,"1.6",""
"162",81052,"FAGR",816,355,NA,"36.0",""
"163",81060,"AEFL",816,530,1.37,"32.0",""
"164",81066,"FAGR",817,355,NA,"33.7",""
"165",81071,"LIBE3",817,19.5,1.37,"2.7",""
"166",81086,"ULRU",817,184,1.37,"22.7",""
"167",81088,"LIST2",817,486,NA,"39.2",""
"168",81096,"OSVI",817,40,1.37,"6.2",""
