tag,sp,quadrat,dbh,hom,Height (m),Notes
001206,ACSA3,0023,59,1.37,,dead
001216,FRAM2,0023,232,1.37,44.4,
001226,QURU,0023,168.5,1.37,17.3,
001236,VIRU,0023,46,1.42,4.1,
001247,QUMU,0024,232,1.37,12.5,
001257,CACA38,0024,243,1.37,9.7,
001267,FRAM2,0024,97,1.37,11.2,
001269,QUAL,0024,316,,27.7,
001278,QURU,0024,473,1.37,22.8,
001289,ASTR,0024,10.2,1.37,,dead
001299,ACSA3,0024,49,1.37,,dead
011150,CAGL8,0122,390,1.37,32.7,
011154,ACSA3,0122,341,,13.9,
011162,FOLI,0122,20.1,1.37,1.9,
011174,ACSA3,0122,58,1.37,10.1,
011181,QUAL,0122,551,,33.9,
011186,ACSA3,0122,96,1.37,9.9,
011197,ACSA3,0122,97,1.37,9.2,
011209,ACSA3,0123,35,1.37,5.7,
011215,QUAL,0123,670,,29.3,
011219,COFL2,0123,44,1.37,6.2,
011230,ULAL,0123,15,1.37,2.7,
011241,QUMU,0123,112,1.37,10.6,
011251,ULAL,0123,19.6,1.37,2.9,
011262,VIRU,0123,49,1.37,6.6,
011274,ACSA3,0124,65,1.37,6.8,
011290,CACA38,0124,205,1.37,11.7,
011301,ACSA3,0124,75,1.37,10.0,
011312,FRAM2,0124,193,1.37,13.9,
011322,ULAL,0124,32,1.37,2.5,
011334,ACSA3,0124,104,1.37,13.7,
021063,QUAL,0221,454,,22.4,
021070,ACSA3,0221,43,1.44,7.1,
021083,ULAL,0221,22.8,1.37,4.6,"dead on top, but new growth at bottom"
021095,DIVI5,0221,360.5,1.37,37.1,
021107,ACSA3,0221,98,1.37,11.3,
021108,QUAL,0221,561.5,,35.0,
021118,ACSA3,0222,88,1.37,10.0,
021133,QUAL,0222,255.5,1.37,18.0,suspected dead
021143,QUAL,0222,543,,33.6,
021144,FRAM2,0222,299,1.37,24.5,
021157,ACSA3,0222,88,1.42,13.1,
021173,FRAM2,0223,300,1.37,22.5,
021184,VIRU,0223,32,1.37,3.6,
021194,ACSA3,0223,87,1.37,11.7,
021205,ACSA3,0223,108,1.37,15.0,
021215,ACSA3,0224,160,1.37,17.8,
021226,QUAL,0224,420,,24.7,
021227,QUAL,0224,519,1.37,25.3,
021238,COOB2,0224,58,1.37,4.6,
021247,QUAL,0224,471.5,,29.4,
021249,QUMU,0224,149,1.37,12.8,
021263,QURU,0224,529,1.37,25.1,
030985,ACSA3,0320,122,1.37,18.8,
030994,QUAL,0320,495,,27.3,
030996,QUAL,0320,454,1.37,30.9,
031007,ACSA3,0320,49,1.37,,broken crown
031015,ACSA3,0320,380,,30.7,
031018,OSVI,0320,26,1.37,4.7,
031022,QUAL,0320,378,,24.9,
031028,VIRU,0320,22,1.37,3.1,
031038,FRAM2,0321,173,1.37,26.2,
031040,QUAL,0321,584,,25.1,
031048,ACSA3,0321,89,1.37,15.8,
031053,QUAL,0321,436,,26.0,
031056,QUAL,0321,412,,23.7,
031057,QUAL,0321,310,,26.0,
031060,ULAL,0321,47.5,1.37,4.8,
031070,OSVI,0321,51.5,1.37,8.4,
031081,AMAR3,0322,82,1.37,14.7,
031092,CAGL8,0322,193,1.58,21.2,
